image,height,width,person_id,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,arousal,valence,dominance,Disconnection,Doubt/Confusion,Fatigue,Pain,Disquietment,Annoyance,others,adhd_emotion
COCO_val2014_000000562243.jpg,640,640,0,86,58,564,628,3.0,5.0,9.0,1,1,0,0,0,0,0,1
COCO_train2014_000000288841.jpg,480,640,0,485,149,605,473,4.0,6.0,7.0,0,0,0,0,0,0,1,0
COCO_val2014_000000558171.jpg,480,640,0,305,92,461,465,8.0,7.0,8.0,0,0,0,0,0,0,1,0
COCO_train2014_000000369575.jpg,640,480,0,221,63,448,372,9.0,8.0,8.0,0,0,0,0,0,0,1,0
COCO_train2014_000000213009.jpg,333,500,0,44,143,150,288,9.0,7.0,10.0,0,0,0,0,0,0,1,0
COCO_train2014_000000462955.jpg,478,640,0,42,32,413,472,6.0,3.0,8.0,0,0,0,0,0,0,1,0
COCO_val2014_000000168683.jpg,375,500,0,257,39,405,183,7.0,6.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000186198.jpg,429,640,0,336,80,494,327,7.0,7.0,8.0,0,0,0,0,0,0,1,0
COCO_train2014_000000006590.jpg,480,640,0,188,109,381,382,4.0,7.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000144608.jpg,500,350,0,198,29,300,232,7.0,7.0,6.0,0,0,1,0,0,0,1,1
ebpsbjqzfhd7efh00i.jpg,471,623,0,47,161,616,468,7.0,2.0,4.0,0,0,0,1,0,0,1,1
COCO_val2014_000000547457.jpg,425,640,0,157,43,470,420,4.0,8.0,7.0,0,0,0,0,0,0,1,0
COCO_val2014_000000122997.jpg,425,640,0,246,63,458,380,3.0,5.0,8.0,0,0,0,0,0,0,1,0
frame_k245twaqc30i5imc.jpg,334,500,0,34,26,499,304,4.0,7.0,2.0,0,0,0,0,0,0,1,0
frame_dkwhvgj0m40g01gs.jpg,641,634,0,148,8,471,616,4.0,5.0,9.0,0,0,0,0,0,0,1,0
COCO_train2014_000000179164.jpg,480,640,0,28,240,201,472,3.0,2.0,3.0,0,0,0,0,0,0,1,0
COCO_val2014_000000121006.jpg,455,640,0,182,83,386,445,6.0,8.0,6.0,0,0,0,0,0,0,1,0
frame_fjgek3oeqc8r0e3o.jpg,499,749,0,497,89,625,436,7.0,6.0,6.0,0,0,0,0,0,0,1,0
COCO_train2014_000000140322.jpg,512,640,0,158,16,378,304,7.0,6.0,3.0,0,0,0,0,0,0,1,0
COCO_train2014_000000497759.jpg,500,500,0,6,71,350,488,7.0,5.0,7.0,0,0,0,0,1,0,0,1
COCO_train2014_000000001966.jpg,480,640,0,126,70,344,439,9.0,5.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000326320.jpg,427,640,0,381,92,493,388,4.0,6.0,7.0,0,0,0,0,0,0,1,0
frame_kuxvwgw2wheq7szc.jpg,378,570,0,209,117,318,335,7.0,2.0,7.0,0,0,0,0,1,0,1,1
frame_95x221h7yj814qxc.jpg,1944,2592,0,2035,654,2176,921,4.0,7.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000253959.jpg,640,588,0,73,276,276,493,8.0,7.0,2.0,0,0,0,0,0,0,1,0
COCO_train2014_000000022683.jpg,427,640,0,93,44,370,370,7.0,6.0,7.0,1,0,0,0,0,0,0,1
COCO_train2014_000000094268.jpg,427,640,0,371,41,468,349,6.0,6.0,2.0,0,0,0,0,0,0,1,0
COCO_val2014_000000231589.jpg,425,640,0,297,70,440,375,8.0,8.0,8.0,0,0,0,0,0,0,1,0
COCO_train2014_000000423647.jpg,427,640,0,323,93,601,349,7.0,5.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000411109.jpg,456,640,0,223,119,341,389,5.0,6.0,7.0,0,0,0,0,0,0,1,0
COCO_val2014_000000461715.jpg,480,640,0,90,27,300,355,4.0,7.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000055276.jpg,480,640,0,299,58,517,469,6.0,7.0,7.0,0,0,0,0,0,0,1,0
COCO_val2014_000000568202.jpg,612,612,0,108,124,286,328,4.0,4.0,4.0,0,0,0,0,0,0,1,0
frame_erwzk3npaleubsqm.jpg,311,450,0,415,144,449,267,2.0,7.0,9.0,0,0,0,0,0,0,1,0
COCO_train2014_000000088609.jpg,480,640,0,308,28,574,441,3.0,7.0,7.0,0,0,0,0,0,0,1,0
COCO_val2014_000000054277.jpg,480,640,0,375,176,511,427,9.0,6.0,9.0,0,0,0,0,0,0,1,0
COCO_train2014_000000549216.jpg,480,640,0,243,79,529,438,4.0,6.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000551481.jpg,640,640,0,302,73,508,619,4.0,6.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000528657.jpg,640,427,0,191,84,342,293,6.0,4.0,9.0,0,0,0,0,0,0,1,0
frame_b1v3bzyq8s4ucvy1.jpg,3651,5477,0,76,760,1484,3396,7.0,5.0,8.0,0,0,0,0,0,0,1,0
COCO_train2014_000000552054.jpg,460,640,0,453,21,588,262,6.0,6.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000379034.jpg,426,640,0,384,114,547,341,4.0,5.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000390644.jpg,424,640,0,112,110,299,368,7.0,7.0,8.0,0,0,0,0,0,0,1,0
COCO_val2014_000000107239.jpg,375,500,0,178,39,435,227,6.0,7.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000322698.jpg,427,640,0,167,165,399,421,6.0,6.0,8.0,0,0,0,0,0,0,1,0
COCO_val2014_000000508538.jpg,375,500,0,157,89,262,339,6.0,4.0,5.0,1,0,0,0,0,0,0,1
COCO_train2014_000000563727.jpg,426,640,0,90,67,619,421,6.0,7.0,7.0,0,0,0,0,0,0,1,0
COCO_val2014_000000182785.jpg,428,640,0,70,75,333,300,9.0,7.0,7.0,0,0,0,0,0,0,1,0
gs84txnh5el02zkbp9.jpg,225,225,0,26,3,202,225,7.0,3.0,6.0,0,0,0,0,0,0,1,0
COCO_train2014_000000408190.jpg,640,640,0,348,366,531,568,8.0,8.0,7.0,0,0,0,0,0,0,1,0
frame_aztc78d4kjclxv9e.jpg,400,600,0,115,266,230,392,6.0,6.0,6.0,0,0,0,0,0,0,1,0
frame_7nseu023ccmqaj3p.jpg,499,799,0,554,192,604,338,4.0,6.0,3.0,0,0,0,0,0,0,1,0
COCO_train2014_000000432683.jpg,480,640,0,52,84,226,479,7.0,5.0,8.0,0,0,0,0,0,0,1,0
COCO_train2014_000000233526.jpg,361,640,0,418,120,582,260,8.0,8.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000137029.jpg,471,640,0,137,6,546,462,9.0,7.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000274108.jpg,480,640,0,196,84,382,469,2.0,6.0,5.0,0,0,0,0,0,0,1,0
COCO_train2014_000000149755.jpg,427,640,0,105,7,611,422,6.0,4.0,4.0,0,0,0,0,0,0,1,0
COCO_train2014_000000159225.jpg,427,640,0,24,33,207,362,6.0,6.0,6.0,0,0,0,0,0,0,1,0
COCO_train2014_000000298949.jpg,612,612,0,193,55,509,416,8.0,5.0,8.0,0,0,0,0,0,0,1,0
frame_j44zhny87dief9zp.jpg,500,500,0,6,99,144,486,3.0,5.0,4.0,0,0,0,0,0,0,1,0
frame_kpokdxsxymvz4qk3.jpg,500,960,0,585,1,959,499,9.0,5.0,4.0,0,0,0,0,0,0,1,0
COCO_train2014_000000524651.jpg,480,640,0,144,147,239,430,7.0,8.0,7.0,0,0,0,0,0,0,1,0
frame_08cmg83x4uc6vay4.jpg,2448,3264,0,704,797,1254,1479,3.0,5.0,3.0,0,0,0,0,0,0,1,0
frame_3jwi6nrvfphi4lp6.jpg,433,730,0,149,83,283,418,2.0,8.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000053608.jpg,452,640,0,192,30,394,350,7.0,7.0,8.0,0,0,0,0,0,0,1,0
COCO_train2014_000000274642.jpg,640,427,0,94,16,402,396,6.0,10.0,8.0,0,0,0,0,0,0,1,0
frame_hzo04gqf487tm689.jpg,556,370,0,1,392,136,535,3.0,8.0,4.0,0,0,0,0,0,0,1,0
COCO_val2014_000000482172.jpg,640,427,0,186,180,371,356,7.0,6.0,7.0,0,0,0,0,0,0,1,0
COCO_val2014_000000576031.jpg,480,640,0,224,78,403,468,10.0,6.0,8.0,0,0,0,0,0,0,1,0
COCO_train2014_000000014103.jpg,425,640,0,267,89,497,289,8.0,7.0,8.0,0,0,0,0,0,0,1,0
frame_8bcjgl84a80cguy5.jpg,457,675,0,456,86,622,456,5.0,5.0,6.0,0,1,0,0,0,0,1,1
frame_bwnq9ntic9dpamg2.jpg,354,500,0,41,243,100,353,6.0,6.0,7.0,0,0,0,0,0,0,1,0
78tk87458zwsmxaoi7.jpg,258,460,0,122,1,374,222,4.0,3.0,3.0,0,1,1,0,1,0,1,1
frame_6290od7o4jvss70n.jpg,320,320,0,256,187,288,269,6.0,5.0,5.0,0,1,0,0,0,0,1,1
COCO_train2014_000000498702.jpg,427,640,0,179,18,352,198,8.0,7.0,8.0,0,0,0,0,0,0,1,0
COCO_train2014_000000261879.jpg,427,640,0,34,77,407,352,4.0,7.0,7.0,0,0,0,0,0,0,1,0
COCO_train2014_000000167028.jpg,480,640,0,40,96,283,341,4.0,4.0,5.0,0,1,0,0,0,0,1,1
frame_gq8umfw35sg36nlq.jpg,418,634,0,542,131,627,363,4.0,4.0,9.0,0,0,0,0,0,0,1,0
